    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:01 /sbin/init splash
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      6 ?        I<     0:00 [kworker/0:0H-kblockd]
      9 ?        I<     0:00 [mm_percpu_wq]
     10 ?        S      0:00 [ksoftirqd/0]
     11 ?        I      0:02 [rcu_sched]
     12 ?        S      0:00 [migration/0]
     13 ?        S      0:00 [idle_inject/0]
     14 ?        S      0:00 [cpuhp/0]
     15 ?        S      0:00 [cpuhp/1]
     16 ?        S      0:00 [idle_inject/1]
     17 ?        S      0:00 [migration/1]
     18 ?        S      0:00 [ksoftirqd/1]
     20 ?        I<     0:00 [kworker/1:0H-kblockd]
     21 ?        S      0:00 [cpuhp/2]
     22 ?        S      0:00 [idle_inject/2]
     23 ?        S      0:00 [migration/2]
     24 ?        S      0:00 [ksoftirqd/2]
     26 ?        I<     0:00 [kworker/2:0H-kblockd]
     27 ?        S      0:00 [cpuhp/3]
     28 ?        S      0:00 [idle_inject/3]
     29 ?        S      0:00 [migration/3]
     30 ?        S      0:00 [ksoftirqd/3]
     32 ?        I<     0:00 [kworker/3:0H-kblockd]
     33 ?        S      0:00 [kdevtmpfs]
     34 ?        I<     0:00 [netns]
     35 ?        S      0:00 [rcu_tasks_kthre]
     36 ?        S      0:00 [kauditd]
     37 ?        S      0:00 [khungtaskd]
     38 ?        S      0:00 [oom_reaper]
     39 ?        I<     0:00 [writeback]
     40 ?        S      0:00 [kcompactd0]
     41 ?        SN     0:00 [ksmd]
     42 ?        SN     0:00 [khugepaged]
     89 ?        I<     0:00 [kintegrityd]
     90 ?        I<     0:00 [kblockd]
     91 ?        I<     0:00 [blkcg_punt_bio]
     93 ?        I<     0:00 [tpm_dev_wq]
     94 ?        I<     0:00 [ata_sff]
     95 ?        I<     0:00 [md]
     96 ?        I<     0:00 [edac-poller]
     97 ?        I<     0:00 [devfreq_wq]
     98 ?        S      0:00 [watchdogd]
    102 ?        S      0:00 [kswapd0]
    103 ?        S      0:00 [ecryptfs-kthrea]
    105 ?        I<     0:00 [kthrotld]
    106 ?        I<     0:00 [acpi_thermal_pm]
    107 ?        S      0:00 [scsi_eh_0]
    108 ?        I<     0:00 [scsi_tmf_0]
    109 ?        S      0:00 [scsi_eh_1]
    110 ?        I<     0:00 [scsi_tmf_1]
    112 ?        S      0:00 [scsi_eh_2]
    113 ?        I<     0:00 [scsi_tmf_2]
    114 ?        S      0:00 [scsi_eh_3]
    115 ?        I<     0:00 [scsi_tmf_3]
    118 ?        I<     0:00 [vfio-irqfd-clea]
    120 ?        I<     0:00 [ipv6_addrconf]
    130 ?        I<     0:00 [kstrp]
    133 ?        I<     0:00 [kworker/u9:0]
    146 ?        I<     0:00 [charger_manager]
    151 ?        I<     0:00 [kworker/1:1H-events_highpri]
    201 ?        I<     0:00 [sdhci]
    203 ?        I<     0:00 [cryptd]
    206 ?        I<     0:00 [kworker/3:1H-events_highpri]
    225 ?        I<     0:00 [kworker/2:1H-events_highpri]
    279 ?        S      0:00 [jbd2/sda5-8]
    280 ?        I<     0:00 [ext4-rsv-conver]
    293 ?        I<     0:00 [kworker/0:1H-events_highpri]
    325 ?        S<s    0:00 /lib/systemd/systemd-journald
    358 ?        Ss     0:00 /lib/systemd/systemd-udevd
    391 ?        S      0:00 [irq/23-smo8800]
    431 ?        I<     0:00 [cfg80211]
    558 ?        Ss     0:00 /lib/systemd/systemd-resolved
    559 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
    615 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
    618 ?        Ss     0:00 /usr/sbin/acpid
    623 ?        Ss     0:00 avahi-daemon: running [libaofeng-Latitude-3330.local]
    624 ?        Ss     0:00 /usr/sbin/cron -f
    625 ?        Ss     0:00 /usr/sbin/cupsd -l
    626 ?        Ss     0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    627 ?        Ssl    0:06 /usr/sbin/NetworkManager --no-daemon
